Read Time:           1.63841
Build Time:          0.09780
Graph has 11950758 nodes and 12711603 directed edges for degree: 1
79390          1     0.00371
79520          1     0.06359
79724          1     0.04076
79950          1     0.07542
80148          1     0.02634
80368          1     0.00991
80611          1     0.68497
80781          1     0.07082
81017          1     0.02628
81091          1     0.00320
81134          1     0.00372
81142          1     0.00828
81228          1     0.03177
81339          1     0.08874
81414          1     0.01388
81591          1     0.69542
81805          1     0.06545
81922          1     0.00766
82107          1     0.00963
82183          1     0.01162
82340          1     0.00602
82481          1     0.01208
82505          1     0.03163
82698          1     0.00291
82710          1     0.09453
82851          1     0.03940
83070          1     0.02766
83102          1     0.04955
83346          1     0.09299
83358          1     0.00469
83400          1     0.10032
83510          1     0.00400
83536          1     0.02312
83761          1     0.01048
84002          1     0.00575
84214          1     0.01538
84255          1     0.03877
84456          1     0.09952
84588          1     0.01100
84622          1     0.01069
84768          1     0.00504
84772          1     0.00886
84993          1     0.15263
85060          1     0.00861
85260          1     0.06184
85330          1     0.00721
85490          1     0.02338
85626          1     0.06837
85839          1     0.00511
85903          1     0.00879
85958          1     0.03308
86040          1     0.00489
86073          1     0.01809
86311          1     0.03314
86476          1     0.07110
86565          1     0.01595
86620          1     0.03503
86820          1     0.00641
87027          1     0.04935
87087          1     0.03856
87122          1     0.01502
87206          1     0.04444
87284          1     0.01582
87525          1     0.17335
87683          1     0.00580
87784          1     0.01117
87798          1     0.05255
87960          1     0.02321
88058          1     0.11351
88295          1     0.01237
88514          1     0.03958
88542          1     0.00357
88617          1     0.01176
88737          1     0.01556
88788          1     0.00917
88978          1     0.01259
89090          1     0.01178
89251          1     0.01590
89371          1     0.03443
89462          1     0.02741
89662          1     0.77869
89875          1     0.05378
89917          1     0.00656
89968          1     0.00512
90090          1     0.01524
90235          1     0.00417
90405          1     0.75543
90529          1     0.03788
90748          1     0.01093
90973          1     0.02582
91153          1     0.00683
91326          1     0.78168
91428          1     0.00972
91488          1     0.07847
91694          1     0.02190
91858          1     0.12738
92086          1     0.01010
92236          1     0.04752
92379          1     0.02889
92385          1     0.01629
92395          1     0.00454
92458          1     0.01223
92508          1     0.00634
92744          1     0.76133
92952          1     0.00455
92994          1     0.01050
93052          1     0.00726
93303          1     0.03968
93462          1     0.02512
93510          1     0.84832
93707          1     0.00556
93767          1     0.00335
took 720 iterations
Trial Time:          0.05203
    0          1     0.00756
  205          1     0.00628
  322          1     0.00386
  348          1     0.00521
  449          1     0.00490
  601          1     0.00551
  702          1     0.00355
  879          1     0.00592
 1053          1     0.00504
 1270          1     0.00673
 1312          1     0.00513
 1408          1     0.00674
 1446          1     0.00676
 1594          1     0.01114
 1643          1     0.00756
 1867          1     0.00697
 2071          1     0.00947
 2285          1     0.00800
 2416          1     0.00786
 2592          1     0.00870
 2593          1     0.00912
 2694          1     0.00891
 2922          1     0.00921
 3064          1     0.00785
 3116          1     0.00964
 3338          1     0.01043
 3545          1     0.01047
 3659          1     0.01155
 3776          1     0.01168
 3789          1     0.00971
 3896          1     0.01143
 3907          1     0.00414
 4070          1     0.01086
 4242          1     0.00461
 4386          1     0.01162
 4565          1     0.01138
 4567          1     0.01388
 4782          1     0.01127
 4949          1     0.00380
 5055          1     0.01312
 5249          1     0.01309
 5362          1     0.01318
 5578          1     0.01260
 5748          1     0.01390
 5967          1     0.01538
 6205          1     0.01430
 6452          1     0.01408
 6607          1     0.01588
 6791          1     0.01575
 6896          1     0.01598
 7112          1     0.01691
 7228          1     0.00729
 7329          1     0.01610
 7335          1     0.01855
 7514          1     0.01605
 7678          1     0.01659
 7691          1     0.01931
 7933          1     0.01874
 8172          1     0.01792
 8174          1     0.01715
 8250          1     0.01738
 8461          1     0.01776
 8491          1     0.00810
 8692          1     0.01976
 8859          1     0.01937
 8875          1     0.02301
 8987          1     0.00308
 8993          1     0.01757
 9185          1     0.02169
 9240          1     0.02590
 9402          1     0.02183
 9651          1     0.02032
 9748          1     0.02102
 9750          1     0.02036
 9806          1     0.00524
 9979          1     0.02352
10203          1     0.00362
10425          1     0.00597
10429          1     0.00507
10592          1     0.00332
10604          1     0.02274
10678          1     0.02237
10789          1     0.02720
10976          1     0.02367
11216          1     0.00314
11367          1     0.03087
11607          1     0.00530
11838          1     0.03427
12002          1     0.00502
12132          1     0.04167
12143          1     0.00665
12235          1     0.03183
12320          1     0.03255
12563          1     0.02865
12631          1     0.01240
12644          1     0.00405
12673          1     0.00483
12882          1     0.03294
12944          1     0.00429
13148          1     0.03509
13347          1     0.00530
13402          1     0.03905
13512          1     0.04398
13551          1     0.00551
13786          1     0.03924
14010          1     0.02954
14265          1     0.03024
14303          1     0.00573
14513          1     0.03899
14745          1     0.03204
14968          1     0.00566
14974          1     0.02686
15157          1     0.00646
15359          1     0.03043
15366          1     0.03377
15384          1     0.03950
15468          1     0.09535
15541          1     0.00526
took 118 iterations
Trial Time:          0.00387
    0          1     0.00901
  156          1     0.00571
  192          1     0.00453
  283          1     0.00617
  307          1     0.00527
  544          1     0.00376
  629          1     0.00549
  814          1     0.00374
  868          1     0.00543
  961          1     0.00634
 1104          1     0.00621
 1306          1     0.00576
 1484          1     0.00800
 1723          1     0.00607
 1793          1     0.00950
 1964          1     0.00663
 2081          1     0.00801
 2157          1     0.00611
 2353          1     0.00761
 2559          1     0.00840
 2799          1     0.00785
 3049          1     0.00897
 3120          1     0.00973
 3243          1     0.00923
 3277          1     0.00918
 3399          1     0.00954
 3411          1     0.00892
 3463          1     0.00953
 3472          1     0.00959
 3620          1     0.00901
 3663          1     0.00966
 3712          1     0.00442
 3773          1     0.00819
 3828          1     0.00998
 4072          1     0.00933
 4240          1     0.01046
 4370          1     0.01083
 4532          1     0.00814
 4728          1     0.01224
 4840          1     0.01181
 5009          1     0.01258
 5101          1     0.01318
 5316          1     0.01195
 5378          1     0.01249
 5473          1     0.01482
 5631          1     0.01215
 5822          1     0.01497
 6013          1     0.01369
 6120          1     0.01262
 6234          1     0.01411
 6375          1     0.01332
 6442          1     0.01480
 6589          1     0.01611
 6812          1     0.00442
 6989          1     0.00415
 7139          1     0.00359
 7382          1     0.01605
 7546          1     0.01317
 7565          1     0.00410
 7750          1     0.01384
 7984          1     0.00414
 8102          1     0.01506
 8138          1     0.01702
 8279          1     0.01798
 8503          1     0.01954
 8551          1     0.00544
 8703          1     0.01915
 8738          1     0.01769
 8818          1     0.11064
 9033          1     0.01514
 9161          1     0.02052
 9261          1     0.01708
 9499          1     0.00413
took 73 iterations
Trial Time:          0.00273
Average Time:        0.01470
